aa	af:Afar	af-NA:Afar	am:አፋርኛ	ar:الأفارية	ar-AE:الأفارية	ar-BH:الأفارية	ar-DJ:الأفارية	ar-DZ:الأفارية	ar-EG:الأفارية	ar-EH:الأفارية	ar-ER:الأفارية	ar-IL:الأفارية	ar-IQ:الأفارية	ar-JO:الأفارية	ar-KM:الأفارية	ar-KW:الأفارية	ar-LB:الأفارية	ar-LY:الأفارية	ar-MA:الأفارية	ar-MR:الأفارية
ain	af:Ainu	af-NA:Ainu	am:አይኑ	ar:الآينوية	ar-AE:الآينوية	ar-BH:الآينوية	ar-DJ:الآينوية	ar-DZ:الآينوية	ar-EG:الآينوية	ar-EH:الآينوية	ar-ER:الآينوية	ar-IL:الآينوية	ar-IQ:الآينوية	ar-JO:الآينوية	ar-KM:الآينوية	ar-KW:الآينوية	ar-LB:الآينوية	ar-LY:الآينوية	ar-MA:الآينوية	ar-MR:الآينوية
ak	af:Akan	af-NA:Akan	agq:Akan	ak:Akan	am:አካንኛ	ar:الأكانية	ar-AE:الأكانية	ar-BH:الأكانية	ar-DJ:الأكانية	ar-DZ:الأكانية	ar-EG:الأكانية	ar-EH:الأكانية	ar-ER:الأكانية	ar-IL:الأكانية	ar-IQ:الأكانية	ar-JO:الأكانية	ar-KM:الأكانية	ar-KW:الأكانية	ar-LB:الأكانية	ar-LY:الأكانية
akk	am:አካዲያን	ar:الأكادية	ar-AE:الأكادية	ar-BH:الأكادية	ar-DJ:الأكادية	ar-DZ:الأكادية	ar-EG:الأكادية	ar-EH:الأكادية	ar-ER:الأكادية	ar-IL:الأكادية	ar-IQ:الأكادية	ar-JO:الأكادية	ar-KM:الأكادية	ar-KW:الأكادية	ar-LB:الأكادية	ar-LY:الأكادية	ar-MA:الأكادية	ar-MR:الأكادية	ar-OM:الأكادية	ar-PS:الأكادية
akz	am:አላባማ	ast:alabama	br:alabamaeg	ca:alabama	ca-AD:alabama	ca-ES-valencia:alabama	ca-FR:alabama	ca-IT:alabama	cs:alabamština	cy:Alabamäeg	de:Alabama	de-AT:Alabama	de-BE:Alabama	de-CH:Alabama	de-IT:Alabama	de-LI:Alabama	de-LU:Alabama	en:Alabama	en-001:Alabama	en-150:Alabama
ale	af:Aleut	af-NA:Aleut	am:አልዩት	ar:الأليوتية	ar-AE:الأليوتية	ar-BH:الأليوتية	ar-DJ:الأليوتية	ar-DZ:الأليوتية	ar-EG:الأليوتية	ar-EH:الأليوتية	ar-ER:الأليوتية	ar-IL:الأليوتية	ar-IQ:الأليوتية	ar-JO:الأليوتية	ar-KM:الأليوتية	ar-KW:الأليوتية	ar-LB:الأليوتية	ar-LY:الأليوتية	ar-MA:الأليوتية	ar-MR:الأليوتية
aln	ast:gheg d’Albania	br:gegeg	ca:albanès geg	ca-AD:albanès geg	ca-ES-valencia:albanès geg	ca-FR:albanès geg	ca-IT:albanès geg	cs:albánština (Gheg)	cy:Ghegeg Albania	de:Gegisch	de-AT:Gegisch	de-BE:Gegisch	de-CH:Gegisch	de-IT:Gegisch	de-LI:Gegisch	de-LU:Gegisch	en:Gheg Albanian	en-001:Gheg Albanian	en-150:Gheg Albanian	en-AE:Gheg Albanian
alt	af:Suid-Altai	af-NA:Suid-Altai	am:ደቡባዊ አልታይ	ar:الألطائية الجنوبية	ar-AE:الألطائية الجنوبية	ar-BH:الألطائية الجنوبية	ar-DJ:الألطائية الجنوبية	ar-DZ:الألطائية الجنوبية	ar-EG:الألطائية الجنوبية	ar-EH:الألطائية الجنوبية	ar-ER:الألطائية الجنوبية	ar-IL:الألطائية الجنوبية	ar-IQ:الألطائية الجنوبية	ar-JO:الألطائية الجنوبية	ar-KM:الألطائية الجنوبية	ar-KW:الألطائية الجنوبية	ar-LB:الألطائية الجنوبية	ar-LY:الألطائية الجنوبية	ar-MA:الألطائية الجنوبية	ar-MR:الألطائية الجنوبية
am	af:Amharies	af-NA:Amharies	agq:Àmalì	ak:Amariki	am:አማርኛ	ar:الأمهرية	ar-AE:الأمهرية	ar-BH:الأمهرية	ar-DJ:الأمهرية	ar-DZ:الأمهرية	ar-EG:الأمهرية	ar-EH:الأمهرية	ar-ER:الأمهرية	ar-IL:الأمهرية	ar-IQ:الأمهرية	ar-JO:الأمهرية	ar-KM:الأمهرية	ar-KW:الأمهرية	ar-LB:الأمهرية	ar-LY:الأمهرية
an	af:Aragonees	af-NA:Aragonees	am:አራጎንስ	an:aragonés	ar:الأراغونية	ar-AE:الأراغونية	ar-BH:الأراغونية	ar-DJ:الأراغونية	ar-DZ:الأراغونية	ar-EG:الأراغونية	ar-EH:الأراغونية	ar-ER:الأراغونية	ar-IL:الأراغونية	ar-IQ:الأراغونية	ar-JO:الأراغونية	ar-KM:الأراغونية	ar-KW:الأراغونية	ar-LB:الأراغونية	ar-LY:الأراغونية	ar-MA:الأراغونية
ang	ar:الإنجليزية القديمة	ar-AE:الإنجليزية القديمة	ar-BH:الإنجليزية القديمة	ar-DJ:الإنجليزية القديمة	ar-DZ:الإنجليزية القديمة	ar-EG:الإنجليزية القديمة	ar-EH:الإنجليزية القديمة	ar-ER:الإنجليزية القديمة	ar-IL:الإنجليزية القديمة	ar-IQ:الإنجليزية القديمة	ar-JO:الإنجليزية القديمة	ar-KM:الإنجليزية القديمة	ar-KW:الإنجليزية القديمة	ar-LB:الإنجليزية القديمة	ar-LY:الإنجليزية القديمة	ar-MA:الإنجليزية القديمة	ar-MR:الإنجليزية القديمة	ar-OM:الإنجليزية القديمة	ar-PS:الإنجليزية القديمة	ar-QA:الإنجليزية القديمة
ann	af:Obolo	af-NA:Obolo	am:ኦቦሎ	ann:Obolo	ar:أوبلو	ar-AE:أوبلو	ar-BH:أوبلو	ar-DJ:أوبلو	ar-DZ:أوبلو	ar-EG:أوبلو	ar-EH:أوبلو	ar-ER:أوبلو	ar-IL:أوبلو	ar-IQ:أوبلو	ar-JO:أوبلو	ar-KM:أوبلو	ar-KW:أوبلو	ar-LB:أوبلو	ar-LY:أوبلو	ar-MA:أوبلو
anp	af:Angika	af-NA:Angika	am:አንጊካ	ar:الأنجيكا	ar-AE:الأنجيكا	ar-BH:الأنجيكا	ar-DJ:الأنجيكا	ar-DZ:الأنجيكا	ar-EG:الأنجيكا	ar-EH:الأنجيكا	ar-ER:الأنجيكا	ar-IL:الأنجيكا	ar-IQ:الأنجيكا	ar-JO:الأنجيكا	ar-KM:الأنجيكا	ar-KW:الأنجيكا	ar-LB:الأنجيكا	ar-LY:الأنجيكا	ar-MA:الأنجيكا	ar-MR:الأنجيكا
apc	apc:العامية	ba:левант ғәрәп	bal-Latn:Latwiái Arabi	blo:gjakalaŋ kagɩlaarɩbuja	cv:левант арап чӗлхи	eo:araba levantenia	et:Levandi araabia	fi:urduni	gd:Arabais Levantach	hu:levantei arab	ia:arabe levantin	ig:apcc	kk:араб тілі (леватин)	kk-Arab:شامي ءتىلى	kk-Cyrl:араб тілі (леватин)	kk-KZ:араб тілі (леватин)	ku:erebîya bakurê Şamê	ku-Latn:erebîya bakurê Şamê	ku-Latn-IQ:erebîya bakurê Şamê	ku-Latn-SY:erebîya bakurê Şamê
ar	af:Arabies	af-NA:Arabies	agq:Àlabì	ak:Arabeke	am:ዓረብኛ	ar:العربية	ar-AE:العربية	ar-BH:العربية	ar-DJ:العربية	ar-DZ:العربية	ar-EG:العربية	ar-EH:العربية	ar-ER:العربية	ar-IL:العربية	ar-IQ:العربية	ar-JO:العربية	ar-KM:العربية	ar-KW:العربية	ar-LB:العربية	ar-LY:العربية
ar-001	af:Moderne Standaardarabies	af-NA:Moderne Standaardarabies	ak:Arabeke Kasa Nhyehyɛeɛ Foforɔ	am:ዘመናዊ መደበኛ ዓረብኛ	ar:العربية الفصحى الحديثة	ar-AE:العربية الفصحى الحديثة	ar-BH:العربية الفصحى الحديثة	ar-DJ:العربية الفصحى الحديثة	ar-DZ:العربية الفصحى الحديثة	ar-EG:العربية الفصحى الحديثة	ar-EH:العربية الفصحى الحديثة	ar-ER:العربية الفصحى الحديثة	ar-IL:العربية الفصحى الحديثة	ar-IQ:العربية الفصحى الحديثة	ar-JO:العربية الفصحى الحديثة	ar-KM:العربية الفصحى الحديثة	ar-KW:العربية الفصحى الحديثة	ar-LB:العربية الفصحى الحديثة	ar-LY:العربية الفصحى الحديثة	ar-MA:العربية الفصحى الحديثة
arc	af:Aramees	af-NA:Aramees	am:አራማይክ	ar:الآرامية	ar-AE:الآرامية	ar-BH:الآرامية	ar-DJ:الآرامية	ar-DZ:الآرامية	ar-EG:الآرامية	ar-EH:الآرامية	ar-ER:الآرامية	ar-IL:الآرامية	ar-IQ:الآرامية	ar-JO:الآرامية	ar-KM:الآرامية	ar-KW:الآرامية	ar-LB:الآرامية	ar-LY:الآرامية	ar-MA:الآرامية	ar-MR:الآرامية
arn	af:Mapuche	af-NA:Mapuche	am:ማፑቼ	ar:المابودونغونية	ar-AE:المابودونغونية	ar-BH:المابودونغونية	ar-DJ:المابودونغونية	ar-DZ:المابودونغونية	ar-EG:المابودونغونية	ar-EH:المابودونغونية	ar-ER:المابودونغونية	ar-IL:المابودونغونية	ar-IQ:المابودونغونية	ar-JO:المابودونغونية	ar-KM:المابودونغونية	ar-KW:المابودونغونية	ar-LB:المابودونغونية	ar-LY:المابودونجونية	ar-MA:المابودونغونية	ar-MR:المابودونغونية
aro	am:አራኦና	ast:araona	br:araona	ca:araona	ca-AD:araona	ca-ES-valencia:araona	ca-FR:araona	ca-IT:araona	cs:araonština	cy:Araonaeg	de:Araona	de-AT:Araona	de-BE:Araona	de-CH:Araona	de-IT:Araona	de-LI:Araona	de-LU:Araona	en:Araona	en-001:Araona	en-150:Araona
arp	af:Arapaho	af-NA:Arapaho	am:አራፓሆ	ar:الأراباهو	ar-AE:الأراباهو	ar-BH:الأراباهو	ar-DJ:الأراباهو	ar-DZ:الأراباهو	ar-EG:الأراباهو	ar-EH:الأراباهو	ar-ER:الأراباهو	ar-IL:الأراباهو	ar-IQ:الأراباهو	ar-JO:الأراباهو	ar-KM:الأراباهو	ar-KW:الأراباهو	ar-LB:الأراباهو	ar-LY:الأراباهو	ar-MA:الأراباهو	ar-MR:الأراباهو
arq	am:የአልጄሪያ ዓረብኛ	ast:árabe d’Arxelia	br:arabeg Aljeria	cs:arabština (alžírská)	cy:Arabeg Algeria	de:Algerisches Arabisch	de-AT:Algerisches Arabisch	de-BE:Algerisches Arabisch	de-CH:Algerisches Arabisch	de-IT:Algerisches Arabisch	de-LI:Algerisches Arabisch	de-LU:Algerisches Arabisch	en:Algerian Arabic	en-001:Algerian Arabic	en-150:Algerian Arabic	en-AE:Algerian Arabic	en-AG:Algerian Arabic	en-AI:Algerian Arabic	en-AS:Algerian Arabic	en-AT:Algerian Arabic
ars	af:Najdi-Arabies	af-NA:Najdi-Arabies	am:ናጅዲ አረብኛ	ar:اللهجة النجدية	ar-AE:اللهجة النجدية	ar-BH:اللهجة النجدية	ar-DJ:اللهجة النجدية	ar-DZ:اللهجة النجدية	ar-EG:اللهجة النجدية	ar-EH:اللهجة النجدية	ar-ER:اللهجة النجدية	ar-IL:اللهجة النجدية	ar-IQ:اللهجة النجدية	ar-JO:اللهجة النجدية	ar-KM:اللهجة النجدية	ar-KW:اللهجة النجدية	ar-LB:اللهجة النجدية	ar-LY:اللهجة النجدية	ar-MA:اللهجة النجدية	ar-MR:اللهجة النجدية
arw	am:አራዋክ	ar:الأراواكية	ar-AE:الأراواكية	ar-BH:الأراواكية	ar-DJ:الأراواكية	ar-DZ:الأراواكية	ar-EG:الأراواكية	ar-EH:الأراواكية	ar-ER:الأراواكية	ar-IL:الأراواكية	ar-IQ:الأراواكية	ar-JO:الأراواكية	ar-KM:الأراواكية	ar-KW:الأراواكية	ar-LB:الأراواكية	ar-LY:الأراواكية	ar-MA:الأراواكية	ar-MR:الأراواكية	ar-OM:الأراواكية	ar-PS:الأراواكية
ary	ast:árabe de Marruecos	br:arabeg Maroko	cs:arabština (marocká)	cy:Arabeg Moroco	de:Marokkanisches Arabisch	de-AT:Marokkanisches Arabisch	de-BE:Marokkanisches Arabisch	de-CH:Marokkanisches Arabisch	de-IT:Marokkanisches Arabisch	de-LI:Marokkanisches Arabisch	de-LU:Marokkanisches Arabisch	en:Moroccan Arabic	en-001:Moroccan Arabic	en-150:Moroccan Arabic	en-AE:Moroccan Arabic	en-AG:Moroccan Arabic	en-AI:Moroccan Arabic	en-AS:Moroccan Arabic	en-AT:Moroccan Arabic	en-AU:Moroccan Arabic
arz	ast:árabe d’Exiptu	br:arabeg Egipt	ca:àrab egipci	ca-AD:àrab egipci	ca-ES-valencia:àrab egipci	ca-FR:àrab egipci	ca-IT:àrab egipci	cs:arabština (egyptská)	cy:Arabeg yr Aifft	de:Ägyptisches Arabisch	de-AT:Ägyptisches Arabisch	de-BE:Ägyptisches Arabisch	de-CH:Ägyptisches Arabisch	de-IT:Ägyptisches Arabisch	de-LI:Ägyptisches Arabisch	de-LU:Ägyptisches Arabisch	en:Egyptian Arabic	en-001:Egyptian Arabic	en-150:Egyptian Arabic	en-AE:Egyptian Arabic
as	af:Assamees	af-NA:Assamees	ak:Asamese	am:አሳሜዝ	ar:الأسامية	ar-AE:الأسامية	ar-BH:الأسامية	ar-DJ:الأسامية	ar-DZ:الأسامية	ar-EG:الأسامية	ar-EH:الأسامية	ar-ER:الأسامية	ar-IL:الأسامية	ar-IQ:الأسامية	ar-JO:الأسامية	ar-KM:الأسامية	ar-KW:الأسامية	ar-LB:الأسامية	ar-LY:الأسامية	ar-MA:الأسامية
asa	af:Asu	af-NA:Asu	am:አሱ	ar:الآسو	ar-AE:الآسو	ar-BH:الآسو	ar-DJ:الآسو	ar-DZ:الآسو	ar-EG:الآسو	ar-EH:الآسو	ar-ER:الآسو	ar-IL:الآسو	ar-IQ:الآسو	ar-JO:الآسو	ar-KM:الآسو	ar-KW:الآسو	ar-LB:الآسو	ar-LY:الآسو	ar-MA:الآسو	ar-MR:الآسو
ase	am:የአሜሪካ የምልክት ቋንቋ	ast:llingua de signos americana	br:yezh sinoù Amerika	ca:llengua de signes americana	ca-AD:llengua de signes americana	ca-ES-valencia:llengua de signes americana	ca-FR:llengua de signes americana	ca-IT:llengua de signes americana	cs:znaková řeč (americká)	cy:Iaith Arwyddion America	de:Amerikanische Gebärdensprache	de-AT:Amerikanische Gebärdensprache	de-BE:Amerikanische Gebärdensprache	de-CH:Amerikanische Gebärdensprache	de-IT:Amerikanische Gebärdensprache	de-LI:Amerikanische Gebärdensprache	de-LU:Amerikanische Gebärdensprache	en:American Sign Language	en-001:American Sign Language	en-150:American Sign Language
ast	af:Asturies	af-NA:Asturies	ak:Asturiani	am:አስቱሪያንኛ	ar:الأسترية	ar-AE:الأسترية	ar-BH:الأسترية	ar-DJ:الأسترية	ar-DZ:الأسترية	ar-EG:الأسترية	ar-EH:الأسترية	ar-ER:الأسترية	ar-IL:الأسترية	ar-IQ:الأسترية	ar-JO:الأسترية	ar-KM:الأسترية	ar-KW:الأسترية	ar-LB:الأسترية	ar-LY:الأسترية	ar-MA:الأسترية
atj	af:Atikamekw	af-NA:Atikamekw	am:አቲካምከው	ar:الأتيكاميكو	ar-AE:الأتيكاميكو	ar-BH:الأتيكاميكو	ar-DJ:الأتيكاميكو	ar-DZ:الأتيكاميكو	ar-EG:الأتيكاميكو	ar-EH:الأتيكاميكو	ar-ER:الأتيكاميكو	ar-IL:الأتيكاميكو	ar-IQ:الأتيكاميكو	ar-JO:الأتيكاميكو	ar-KM:الأتيكاميكو	ar-KW:الأتيكاميكو	ar-LB:الأتيكاميكو	ar-LY:الأتيكاميكو	ar-MA:الأتيكاميكو	ar-MR:الأتيكاميكو
av	af:Avaries	af-NA:Avaries	am:አቫሪክ	ar:الأوارية	ar-AE:الأوارية	ar-BH:الأوارية	ar-DJ:الأوارية	ar-DZ:الأوارية	ar-EG:الأوارية	ar-EH:الأوارية	ar-ER:الأوارية	ar-IL:الأوارية	ar-IQ:الأوارية	ar-JO:الأوارية	ar-KM:الأوارية	ar-KW:الأوارية	ar-LB:الأوارية	ar-LY:الأوارية	ar-MA:الأوارية	ar-MR:الأوارية
avk	ast:kotava	cs:kotava	de:Kotava	de-AT:Kotava	de-BE:Kotava	de-CH:Kotava	de-IT:Kotava	de-LI:Kotava	de-LU:Kotava	en:Kotava	en-001:Kotava	en-150:Kotava	en-AE:Kotava	en-AG:Kotava	en-AI:Kotava	en-AS:Kotava	en-AT:Kotava	en-AU:Kotava	en-BB:Kotava	en-BE:Kotava
awa	af:Awadhi	af-NA:Awadhi	am:አዋድሂ	ar:الأوادية	ar-AE:الأوادية	ar-BH:الأوادية	ar-DJ:الأوادية	ar-DZ:الأوادية	ar-EG:الأوادية	ar-EH:الأوادية	ar-ER:الأوادية	ar-IL:الأوادية	ar-IQ:الأوادية	ar-JO:الأوادية	ar-KM:الأوادية	ar-KW:الأوادية	ar-LB:الأوادية	ar-LY:الأوادية	ar-MA:الأوادية	ar-MR:الأوادية
ay	af:Aymara	af-NA:Aymara	am:አያማርኛ	ar:الأيمارا	ar-AE:الأيمارا	ar-BH:الأيمارا	ar-DJ:الأيمارا	ar-DZ:الأيمارا	ar-EG:الأيمارا	ar-EH:الأيمارا	ar-ER:الأيمارا	ar-IL:الأيمارا	ar-IQ:الأيمارا	ar-JO:الأيمارا	ar-KM:الأيمارا	ar-KW:الأيمارا	ar-LB:الأيمارا	ar-LY:الأيمارا	ar-MA:الأيمارا	ar-MR:الأيمارا
az	af:Azerbeidjans	af-NA:Azerbeidjans	ak:Asabegyanni	am:አዘርባጃንኛ	ar:الأذربيجانية	ar-AE:الأذربيجانية	ar-BH:الأذربيجانية	ar-DJ:الأذربيجانية	ar-DZ:الأذربيجانية	ar-EG:الأذربيجانية	ar-EH:الأذربيجانية	ar-ER:الأذربيجانية	ar-IL:الأذربيجانية	ar-IQ:الأذربيجانية	ar-JO:الأذربيجانية	ar-KM:الأذربيجانية	ar-KW:الأذربيجانية	ar-LB:الأذربيجانية	ar-LY:الأذربيجانية	ar-MA:الأذربيجانية
az-Arab	az:cənubi azərbaycan	az-Arab:تۆرکجه	az-Arab-IQ:تۆرکجه	az-Arab-TR:تۆرکجه	az-Latn:cənubi azərbaycan	ckb:ئازەربایجانی باشووری	ckb-IR:ئازەربایجانی باشووری	cy:Aserbaijaneg Deheuol	fa:ترکی آذری جنوبی	fa-AF:ترکی آذری جنوبی	hr:južnoazerbajdžanski	hr-BA:južnoazerbajdžanski	kgp:aseri sur	ksh:Södasserbaidschahnesch	lrc:آذأری ھارگە	lrc-IQ:آذأری ھارگە	lv:dienvidazerbaidžāņu	mzn:جنوبی آذری ترکی	pt:azeri sul	pt-AO:azeri sul
ba	af:Baskir	af-NA:Baskir	am:ባስኪርኛ	ar:الباشكيرية	ar-AE:الباشكيرية	ar-BH:الباشكيرية	ar-DJ:الباشكيرية	ar-DZ:الباشكيرية	ar-EG:الباشكيرية	ar-EH:الباشكيرية	ar-ER:الباشكيرية	ar-IL:الباشكيرية	ar-IQ:الباشكيرية	ar-JO:الباشكيرية	ar-KM:الباشكيرية	ar-KW:الباشكيرية	ar-LB:الباشكيرية	ar-LY:الباشكيرية	ar-MA:الباشكيرية	ar-MR:الباشكيرية
bal	af:Baloetsji	af-NA:Baloetsji	ak:Balukyi	am:ባሉቺ	ar:البلوشية	ar-AE:البلوشية	ar-BH:البلوشية	ar-DJ:البلوشية	ar-DZ:البلوشية	ar-EG:البلوشية	ar-EH:البلوشية	ar-ER:البلوشية	ar-IL:البلوشية	ar-IQ:البلوشية	ar-JO:البلوشية	ar-KM:البلوشية	ar-KW:البلوشية	ar-LB:البلوشية	ar-LY:البلوشية	ar-MA:البلوشية
bal-Latn	bal-Latn:Balóchi (Látin)
ban	af:Balinees	af-NA:Balinees	am:ባሊኔስ	ar:البالينية	ar-AE:البالينية	ar-BH:البالينية	ar-DJ:البالينية	ar-DZ:البالينية	ar-EG:البالينية	ar-EH:البالينية	ar-ER:البالينية	ar-IL:البالينية	ar-IQ:البالينية	ar-JO:البالينية	ar-KM:البالينية	ar-KW:البالينية	ar-LB:البالينية	ar-LY:البالينية	ar-MA:البالينية	ar-MR:البالينية
bar	am:ባቫሪያን	ast:bávaru	br:bavarieg	ca:bavarès	ca-AD:bavarès	ca-ES-valencia:bavarès	ca-FR:bavarès	ca-IT:bavarès	cs:bavorština	de:Bairisch	de-AT:Bairisch	de-BE:Bairisch	de-CH:Bairisch	de-IT:Bairisch	de-LI:Bairisch	de-LU:Bairisch	en:Bavarian	en-001:Bavarian	en-150:Bavarian	en-AE:Bavarian
bas	af:Basaa	af-NA:Basaa	am:ባሳ	ar:الباسا	ar-AE:الباسا	ar-BH:الباسا	ar-DJ:الباسا	ar-DZ:الباسا	ar-EG:الباسا	ar-EH:الباسا	ar-ER:الباسا	ar-IL:الباسا	ar-IQ:الباسا	ar-JO:الباسا	ar-KM:الباسا	ar-KW:الباسا	ar-LB:الباسا	ar-LY:الباسا	ar-MA:الباسا	ar-MR:الباسا
bax	am:ባሙን	ar:بامن	ar-AE:بامن	ar-BH:بامن	ar-DJ:بامن	ar-DZ:بامن	ar-EG:بامن	ar-EH:بامن	ar-ER:بامن	ar-IL:بامن	ar-IQ:بامن	ar-JO:بامن	ar-KM:بامن	ar-KW:بامن	ar-LB:بامن	ar-LY:بامن	ar-MA:بامن	ar-MR:بامن	ar-OM:بامن	ar-PS:بامن
bbc	am:ባታካ ቶባ	ast:batak toba	cs:batak toba	de:Batak Toba	de-AT:Batak Toba	de-BE:Batak Toba	de-CH:Batak Toba	de-IT:Batak Toba	de-LI:Batak Toba	de-LU:Batak Toba	en:Batak Toba	en-001:Batak Toba	en-150:Batak Toba	en-AE:Batak Toba	en-AG:Batak Toba	en-AI:Batak Toba	en-AS:Batak Toba	en-AT:Batak Toba	en-AU:Batak Toba	en-BB:Batak Toba
