231A..231B    ; Basic_Emoji                  ; watch..hourglass done                                          # E0.6   [2] (⌚..⌛)
1F688         ; Basic_Emoji                  ; light rail                                                     # E1.0   [1] (🚈)
1F689         ; Basic_Emoji                  ; station                                                        # E0.6   [1] (🚉)
1F68A..1F68B  ; Basic_Emoji                  ; tram..tram car                                                 # E1.0   [2] (🚊..🚋)
1F68C         ; Basic_Emoji                  ; bus                                                            # E0.6   [1] (🚌)
1F68D         ; Basic_Emoji                  ; oncoming bus                                                   # E0.7   [1] (🚍)
1F68E         ; Basic_Emoji                  ; trolleybus                                                     # E1.0   [1] (🚎)
1F68F         ; Basic_Emoji                  ; bus stop                                                       # E0.6   [1] (🚏)
1F690         ; Basic_Emoji                  ; minibus                                                        # E1.0   [1] (🚐)
1F691..1F693  ; Basic_Emoji                  ; ambulance..police car                                          # E0.6   [3] (🚑..🚓)
1F694         ; Basic_Emoji                  ; oncoming police car                                            # E0.7   [1] (🚔)
1F695         ; Basic_Emoji                  ; taxi                                                           # E0.6   [1] (🚕)
1F696         ; Basic_Emoji                  ; oncoming taxi                                                  # E1.0   [1] (🚖)
1F697         ; Basic_Emoji                  ; automobile                                                     # E0.6   [1] (🚗)
1F698         ; Basic_Emoji                  ; oncoming automobile                                            # E0.7   [1] (🚘)
1F699..1F69A  ; Basic_Emoji                  ; sport utility vehicle..delivery truck                          # E0.6   [2] (🚙..🚚)
1F69B..1F6A1  ; Basic_Emoji                  ; articulated lorry..aerial tramway                              # E1.0   [7] (🚛..🚡)
1F6A2         ; Basic_Emoji                  ; ship                                                           # E0.6   [1] (🚢)
1F6A3         ; Basic_Emoji                  ; person rowing boat                                             # E1.0   [1] (🚣)
1F6A4..1F6A5  ; Basic_Emoji                  ; speedboat..horizontal traffic light                            # E0.6   [2] (🚤..🚥)
1F6A6         ; Basic_Emoji                  ; vertical traffic light                                         # E1.0   [1] (🚦)
1F6A7..1F6AD  ; Basic_Emoji                  ; construction..no smoking                                       # E0.6   [7] (🚧..🚭)
1F6AE..1F6B1  ; Basic_Emoji                  ; litter in bin sign..non-potable water                          # E1.0   [4] (🚮..🚱)
1F6B2         ; Basic_Emoji                  ; bicycle                                                        # E0.6   [1] (🚲)
1F6B3..1F6B5  ; Basic_Emoji                  ; no bicycles..person mountain biking                            # E1.0   [3] (🚳..🚵)
1F6B6         ; Basic_Emoji                  ; person walking                                                 # E0.6   [1] (🚶)
1F6B7..1F6B8  ; Basic_Emoji                  ; no pedestrians..children crossing                              # E1.0   [2] (🚷..🚸)
1F6B9..1F6BE  ; Basic_Emoji                  ; men’s room..water closet                                       # E0.6   [6] (🚹..🚾)
1F6BF         ; Basic_Emoji                  ; shower                                                         # E1.0   [1] (🚿)
1F6C0         ; Basic_Emoji                  ; person taking bath                                             # E0.6   [1] (🛀)
1F6C1..1F6C5  ; Basic_Emoji                  ; bathtub..left luggage                                          # E1.0   [5] (🛁..🛅)
1F6CC         ; Basic_Emoji                  ; person in bed                                                  # E1.0   [1] (🛌)
1F6D0         ; Basic_Emoji                  ; place of worship                                               # E1.0   [1] (🛐)
1F6D1..1F6D2  ; Basic_Emoji                  ; stop sign..shopping cart                                       # E3.0   [2] (🛑..🛒)
1F6D5         ; Basic_Emoji                  ; hindu temple                                                   # E12.0  [1] (🛕)
1F6D6..1F6D7  ; Basic_Emoji                  ; hut..elevator                                                  # E13.0  [2] (🛖..🛗)
1F6D8         ; Basic_Emoji                  ; landslide                                                      # E17.0  [1] (🛘)
1F6D9         ; Basic_Emoji                  ; lighthouse                                                     # E18.0  [1] (🛙)
1F6DC         ; Basic_Emoji                  ; wireless                                                       # E15.0  [1] (🛜)
1F6DD..1F6DF  ; Basic_Emoji                  ; playground slide..ring buoy                                    # E14.0  [3] (🛝..🛟)
1F6EB..1F6EC  ; Basic_Emoji                  ; airplane departure..airplane arrival                           # E1.0   [2] (🛫..🛬)
1F6F4..1F6F6  ; Basic_Emoji                  ; kick scooter..canoe                                            # E3.0   [3] (🛴..🛶)
1F6F7..1F6F8  ; Basic_Emoji                  ; sled..flying saucer                                            # E5.0   [2] (🛷..🛸)
1F6F9         ; Basic_Emoji                  ; skateboard                                                     # E11.0  [1] (🛹)
1F6FA         ; Basic_Emoji                  ; auto rickshaw                                                  # E12.0  [1] (🛺)
1F6FB..1F6FC  ; Basic_Emoji                  ; pickup truck..roller skate                                     # E13.0  [2] (🛻..🛼)
1F7E0..1F7EB  ; Basic_Emoji                  ; orange circle..brown square                                    # E12.0 [12] (🟠..🟫)
1F7F0         ; Basic_Emoji                  ; heavy equals sign                                              # E14.0  [1] (🟰)
1F90C         ; Basic_Emoji                  ; pinched fingers                                                # E13.0  [1] (🤌)
1F90D..1F90F  ; Basic_Emoji                  ; white heart..pinching hand                                     # E12.0  [3] (🤍..🤏)
1F910..1F918  ; Basic_Emoji                  ; zipper-mouth face..sign of the horns                           # E1.0   [9] (🤐..🤘)
1F919..1F91E  ; Basic_Emoji                  ; call me hand..crossed fingers                                  # E3.0   [6] (🤙..🤞)
1F91F         ; Basic_Emoji                  ; love-you gesture                                               # E5.0   [1] (🤟)
1F920..1F927  ; Basic_Emoji                  ; cowboy hat face..sneezing face                                 # E3.0   [8] (🤠..🤧)
1F928..1F92F  ; Basic_Emoji                  ; face with raised eyebrow..exploding head                       # E5.0   [8] (🤨..🤯)
1F930         ; Basic_Emoji                  ; pregnant woman                                                 # E3.0   [1] (🤰)
1F931..1F932  ; Basic_Emoji                  ; breast-feeding..palms up together                              # E5.0   [2] (🤱..🤲)
1F933..1F93A  ; Basic_Emoji                  ; selfie..person fencing                                         # E3.0   [8] (🤳..🤺)
1F93C..1F93E  ; Basic_Emoji                  ; people wrestling..person playing handball                      # E3.0   [3] (🤼..🤾)
1F93F         ; Basic_Emoji                  ; diving mask                                                    # E12.0  [1] (🤿)
1F940..1F945  ; Basic_Emoji                  ; wilted flower..goal net                                        # E3.0   [6] (🥀..🥅)
1F947..1F94B  ; Basic_Emoji                  ; 1st place medal..martial arts uniform                          # E3.0   [5] (🥇..🥋)
1F94C         ; Basic_Emoji                  ; curling stone                                                  # E5.0   [1] (🥌)
1F94D..1F94F  ; Basic_Emoji                  ; lacrosse..flying disc                                          # E11.0  [3] (🥍..🥏)
1F950..1F95E  ; Basic_Emoji                  ; croissant..pancakes                                            # E3.0  [15] (🥐..🥞)
1F95F..1F96B  ; Basic_Emoji                  ; dumpling..canned food                                          # E5.0  [13] (🥟..🥫)
1F96C..1F970  ; Basic_Emoji                  ; leafy green..smiling face with hearts                          # E11.0  [5] (🥬..🥰)
1F971         ; Basic_Emoji                  ; yawning face                                                   # E12.0  [1] (🥱)
1F972         ; Basic_Emoji                  ; smiling face with tear                                         # E13.0  [1] (🥲)
1F973..1F976  ; Basic_Emoji                  ; partying face..cold face                                       # E11.0  [4] (🥳..🥶)
1F977..1F978  ; Basic_Emoji                  ; ninja..disguised face                                          # E13.0  [2] (🥷..🥸)
1F979         ; Basic_Emoji                  ; face holding back tears                                        # E14.0  [1] (🥹)
1F97A         ; Basic_Emoji                  ; pleading face                                                  # E11.0  [1] (🥺)
1F97B         ; Basic_Emoji                  ; sari                                                           # E12.0  [1] (🥻)
1F97C..1F97F  ; Basic_Emoji                  ; lab coat..flat shoe                                            # E11.0  [4] (🥼..🥿)
1F980..1F984  ; Basic_Emoji                  ; crab..unicorn                                                  # E1.0   [5] (🦀..🦄)
1F985..1F991  ; Basic_Emoji                  ; eagle..squid                                                   # E3.0  [13] (🦅..🦑)
1F992..1F997  ; Basic_Emoji                  ; giraffe..cricket                                               # E5.0   [6] (🦒..🦗)
1F998..1F9A2  ; Basic_Emoji                  ; kangaroo..swan                                                 # E11.0 [11] (🦘..🦢)
1F9A3..1F9A4  ; Basic_Emoji                  ; mammoth..dodo                                                  # E13.0  [2] (🦣..🦤)
1F9A5..1F9AA  ; Basic_Emoji                  ; sloth..oyster                                                  # E12.0  [6] (🦥..🦪)
1F9AB..1F9AD  ; Basic_Emoji                  ; beaver..seal                                                   # E13.0  [3] (🦫..🦭)
1F9AE..1F9AF  ; Basic_Emoji                  ; guide dog..white cane                                          # E12.0  [2] (🦮..🦯)
1F9B0..1F9B9  ; Basic_Emoji                  ; red hair..supervillain                                         # E11.0 [10] (🦰..🦹)
1F9BA..1F9BF  ; Basic_Emoji                  ; safety vest..mechanical leg                                    # E12.0  [6] (🦺..🦿)
1F9C0         ; Basic_Emoji                  ; cheese wedge                                                   # E1.0   [1] (🧀)
1F9C1..1F9C2  ; Basic_Emoji                  ; cupcake..salt                                                  # E11.0  [2] (🧁..🧂)
1F9C3..1F9CA  ; Basic_Emoji                  ; beverage box..ice                                              # E12.0  [8] (🧃..🧊)
1F9CB         ; Basic_Emoji                  ; bubble tea                                                     # E13.0  [1] (🧋)
1F9CC         ; Basic_Emoji                  ; troll                                                          # E14.0  [1] (🧌)
1F9CD..1F9CF  ; Basic_Emoji                  ; person standing..deaf person                                   # E12.0  [3] (🧍..🧏)
1F9D0..1F9E6  ; Basic_Emoji                  ; face with monocle..socks                                       # E5.0  [23] (🧐..🧦)
1F9E7..1F9FF  ; Basic_Emoji                  ; red envelope..nazar amulet                                     # E11.0 [25] (🧧..🧿)
1FA70..1FA73  ; Basic_Emoji                  ; ballet shoes..shorts                                           # E12.0  [4] (🩰..🩳)
1FA74         ; Basic_Emoji                  ; thong sandal                                                   # E13.0  [1] (🩴)
1FA75..1FA77  ; Basic_Emoji                  ; light blue heart..pink heart                                   # E15.0  [3] (🩵..🩷)
1FA78..1FA7A  ; Basic_Emoji                  ; drop of blood..stethoscope                                     # E12.0  [3] (🩸..🩺)
1FA7B..1FA7C  ; Basic_Emoji                  ; x-ray..crutch                                                  # E14.0  [2] (🩻..🩼)
1FA80..1FA82  ; Basic_Emoji                  ; yo-yo..parachute                                               # E12.0  [3] (🪀..🪂)
1FA83..1FA86  ; Basic_Emoji                  ; boomerang..nesting dolls                                       # E13.0  [4] (🪃..🪆)
1FA87..1FA88  ; Basic_Emoji                  ; maracas..flute                                                 # E15.0  [2] (🪇..🪈)
1FA89         ; Basic_Emoji                  ; harp                                                           # E16.0  [1] (🪉)
1FA8A         ; Basic_Emoji                  ; trombone                                                       # E17.0  [1] (🪊)
1FA8B..1FA8D  ; Basic_Emoji                  ; meteor..net with handle                                        # E18.0  [3] (🪋..🪍)
1FA8E         ; Basic_Emoji                  ; treasure chest                                                 # E17.0  [1] (🪎)
1FA8F         ; Basic_Emoji                  ; shovel                                                         # E16.0  [1] (🪏)
1FA90..1FA95  ; Basic_Emoji                  ; ringed planet..banjo                                           # E12.0  [6] (🪐..🪕)
1FA96..1FAA8  ; Basic_Emoji                  ; military helmet..rock                                          # E13.0 [19] (🪖..🪨)
1FAA9..1FAAC  ; Basic_Emoji                  ; mirror ball..hamsa                                             # E14.0  [4] (🪩..🪬)
1FAAD..1FAAF  ; Basic_Emoji                  ; folding hand fan..khanda                                       # E15.0  [3] (🪭..🪯)
1FAB0..1FAB6  ; Basic_Emoji                  ; fly..feather                                                   # E13.0  [7] (🪰..🪶)
1FAB7..1FABA  ; Basic_Emoji                  ; lotus..nest with eggs                                          # E14.0  [4] (🪷..🪺)
1FABB..1FABD  ; Basic_Emoji                  ; hyacinth..wing                                                 # E15.0  [3] (🪻..🪽)
1FABE         ; Basic_Emoji                  ; leafless tree                                                  # E16.0  [1] (🪾)
1FABF         ; Basic_Emoji                  ; goose                                                          # E15.0  [1] (🪿)
1FAC0..1FAC2  ; Basic_Emoji                  ; anatomical heart..people hugging                               # E13.0  [3] (🫀..🫂)
1FAC3..1FAC5  ; Basic_Emoji                  ; pregnant man..person with crown                                # E14.0  [3] (🫃..🫅)
1FAC6         ; Basic_Emoji                  ; fingerprint                                                    # E16.0  [1] (🫆)
1FAC8         ; Basic_Emoji                  ; hairy creature                                                 # E17.0  [1] (🫈)
1FACC         ; Basic_Emoji                  ; monarch butterfly                                              # E18.0  [1] (🫌)
1FACD         ; Basic_Emoji                  ; orca                                                           # E17.0  [1] (🫍)
